id,kepler_name,kepid,predicted_2022,class_2022,class_2025,probability,error
candidate_498,K02004.01,12154526,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_499,K02004.02,12154526,0.0,CANDIDATE,CONFIRMED,0.004941292,1
candidate_514,K02264.01,12256520,1.0,CANDIDATE,CONFIRMED,0.99981254,0
candidate_519,K01522.01,12266636,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_522,K02059.01,12301181,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_528,K00787.01,12366084,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_529,K00787.02,12366084,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_533,K03091.01,12406807,1.0,CANDIDATE,CONFIRMED,0.9999982,0
candidate_552,K00548.01,12600735,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_564,K00298.01,12785320,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_566,K02184.01,12885212,1.0,CANDIDATE,FALSE POSITIVE,0.9986216,1
candidate_571,K00992.01,1432789,1.0,CANDIDATE,CONFIRMED,0.9999968,0
candidate_573,K03145.01,1717722,1.0,CANDIDATE,CONFIRMED,0.94609094,0
candidate_575,K00993.01,1718189,1.0,CANDIDATE,CONFIRMED,0.99999964,0
candidate_576,K00993.02,1718189,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_580,K04212.01,1724719,1.0,CANDIDATE,CONFIRMED,0.9999881,0
candidate_584,K02534.01,1996180,1.0,CANDIDATE,CONFIRMED,0.9890176,0
candidate_605,K00379.01,2446113,1.0,CANDIDATE,FALSE POSITIVE,1.0,1
candidate_617,K03077.01,2715695,0.0,CANDIDATE,CONFIRMED,0.0013746883,1
candidate_619,K03053.01,2716801,1.0,CANDIDATE,CONFIRMED,0.99999833,0
candidate_622,K01942.01,2832589,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_626,K01110.01,2837111,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_635,K02232.01,2854181,1.0,CANDIDATE,CONFIRMED,0.99999964,0
candidate_640,K04957.01,2861126,0.0,CANDIDATE,FALSE POSITIVE,9.698118e-36,0
candidate_645,K01788.01,2975770,0.0,CANDIDATE,CONFIRMED,7.3553533e-13,1
candidate_667,K02055.01,3128552,1.0,CANDIDATE,CONFIRMED,0.99999976,0
