rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_vet_stat,koi_vet_date,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disp_prov,koi_comment,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_longp,koi_longp_err1,koi_longp_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_fittype,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_limbdark_mod,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_parm_prov,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_quarters,koi_bin_oedp_sig,koi_trans_mod,koi_model_dof,koi_model_chisq,koi_datalink_dvr,koi_datalink_dvs,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_sparprov,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err
973,7376983,K01358.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,5.644914154,8.778e-06,-8.778e-06,356.73699,0.0011,-0.0011,2455189.737,0.0011,-0.0011,0.0,,,,,,0.445,0.037,-0.445,2.2599,0.0433,-0.0433,,,,1397.9,24.4,-24.4,0.03411,0.006918,-0.000933,3.36374,1.48099,-0.4015,LS+MCMC,2.66,0.25,-0.18,0.0571,,,88.57,,,744.0,,,72.38,27.67,-18.17,17.83,7.8,-7.8,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1054,0.6323,q1_q17_dr25_koi,7.3839817,51.430588,63.9,4,199.0,1.0,q1_q17_dr25_tce,00011111111111111000000000000000,0.7087,Mandel and Agol (2002 ApJ 580 171),,,007/007376/007376983/dv/kplr007376983-20160209194854_dvr.pdf,007/007376/007376983/dv/kplr007376983-001-20160209194854_dvs.pdf,4769.0,172.0,-172.0,4.622,0.024,-0.06,0.12,0.25,-0.3,0.714,0.068,-0.049,0.799,0.041,-0.081,,,,q1_q17_dr25_stellar,295.8255,42.94339,15.505,16.412,15.453,15.117,14.945,13.842,13.321,13.154,0.0,19.7216898,1.1e-06,42.942458,1.8e-05,-0.402,0.043,-3.356,0.066,-0.00022,0.00012,-0.00104,0.00016,0.179,0.093,6.008,0.095,6.011,0.095,-0.12,0.11,-0.018,0.089,0.12,0.11
992,7376983,K01358.02,,CANDIDATE,Done,2018-08-16,CANDIDATE,0.999,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,8.74292005,3.311e-05,-3.311e-05,358.59286,0.00266,-0.00266,2455191.593,0.00266,-0.00266,0.0,,,,,,0.025,0.416,-0.025,2.6277,0.0846,-0.0846,,,,779.5,28.2,-28.2,0.024586,0.001177,-0.000524,4.37105,0.45949,-1.40528,LS+MCMC,1.92,0.18,-0.13,0.0765,,,89.95,,,643.0,,,40.33,15.41,-10.13,26.04,2.7,-2.7,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1054,0.6323,q1_q17_dr25_koi,4.783428,25.053642,30.7,4,122.0,2.0,q1_q17_dr25_tce,00011111111111111000000000000000,0.508,Mandel and Agol (2002 ApJ 580 171),,,007/007376/007376983/dv/kplr007376983-20160209194854_dvr.pdf,007/007376/007376983/dv/kplr007376983-002-20160209194854_dvs.pdf,4769.0,172.0,-172.0,4.622,0.024,-0.06,0.12,0.25,-0.3,0.714,0.068,-0.049,0.799,0.041,-0.081,,,,q1_q17_dr25_stellar,295.8255,42.94339,15.505,16.412,15.453,15.117,14.945,13.842,13.321,13.154,0.0,19.7216837,2.3e-06,42.942426,3.8e-05,-0.644,0.09,-3.47,0.14,6.2e-05,9.4e-05,-0.0005,0.00014,0.54,0.61,6.26,0.58,6.29,0.58,0.27,0.61,0.2,0.58,0.34,0.6
993,7376983,K01358.03,,CANDIDATE,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,3.64830183,1.621e-05,-1.621e-05,355.39128,0.00307,-0.00307,2455188.391,0.00307,-0.00307,0.0,,,,,,0.063,0.396,-0.062,1.9985,0.0929,-0.0929,,,,371.7,21.0,-21.0,0.017009,0.000969,-0.000646,4.04262,0.36429,-1.78989,LS+MCMC,1.33,0.12,-0.09,0.0427,,,89.75,,,860.0,,,129.44,49.47,-32.5,14.17,1.3,-1.3,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1054,0.6323,q1_q17_dr25_koi,4.960234,15.45596,19.9,4,282.0,3.0,q1_q17_dr25_tce,00011111111111111000000000000000,0.8901,Mandel and Agol (2002 ApJ 580 171),,,007/007376/007376983/dv/kplr007376983-20160209194854_dvr.pdf,007/007376/007376983/dv/kplr007376983-003-20160209194854_dvs.pdf,4769.0,172.0,-172.0,4.622,0.024,-0.06,0.12,0.25,-0.3,0.714,0.068,-0.049,0.799,0.041,-0.081,,,,q1_q17_dr25_stellar,295.8255,42.94339,15.505,16.412,15.453,15.117,14.945,13.842,13.321,13.154,0.0,19.7216883,3.5e-06,42.94242,5.8e-05,-0.46,0.14,-3.49,0.21,-3.8e-05,5.6e-05,-0.000229,8.4e-05,0.07,0.24,6.18,0.23,6.18,0.23,-0.24,0.25,0.16,0.16,0.29,0.26
994,7376983,K01358.04,,CANDIDATE,Done,2018-08-16,CANDIDATE,0.933,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,2.345863002,9.55e-06,-9.55e-06,354.11185,0.00264,-0.00264,2455187.112,0.00264,-0.00264,0.0,,,,,,0.035,0.438,-0.035,1.6795,0.0886,-0.0886,,,,316.7,18.4,-18.4,0.015717,0.000887,-0.000635,4.38761,0.41091,-1.99224,LS+MCMC,1.23,0.11,-0.09,0.0318,,,89.81,,,997.0,,,233.38,89.19,-58.6,10.85,1.0,-1.0,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1054,0.6323,q1_q17_dr25_koi,3.6697474,14.618407,19.6,4,428.0,4.0,q1_q17_dr25_tce,00011111111111111000000000000000,0.5831,Mandel and Agol (2002 ApJ 580 171),,,007/007376/007376983/dv/kplr007376983-20160209194854_dvr.pdf,007/007376/007376983/dv/kplr007376983-004-20160209194854_dvs.pdf,4769.0,172.0,-172.0,4.622,0.024,-0.06,0.12,0.25,-0.3,0.714,0.068,-0.049,0.799,0.041,-0.081,,,,q1_q17_dr25_stellar,295.8255,42.94339,15.505,16.412,15.453,15.117,14.945,13.842,13.321,13.154,0.0,19.7216873,3.7e-06,42.942439,6.1e-05,-0.5,0.14,-3.42,0.22,-1.8e-05,4.6e-05,-0.000202,6.9e-05,0.73,0.52,6.07,0.81,6.11,0.82,0.44,0.93,-0.27,0.76,0.51,0.89
1066,9636135,K01498.02,,CANDIDATE,Done,2018-08-16,CANDIDATE,0.999,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,2.42150341,1.597e-05,-1.597e-05,133.83517,0.005,-0.005,2454966.835,0.005,-0.005,0.0,,,,,,0.55,0.402,-0.336,2.965,0.167,-0.167,,,,171.5,12.6,-12.6,0.01238,0.000369,-0.000754,0.49521,0.55472,-0.02785,LS+MCMC,1.62,0.47,-0.19,0.0382,,,84.11,,,1532.0,,,1305.04,1132.86,-447.17,5.35,2.0,-2.0,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.3016,0.3403,q1_q17_dr25_koi,3.1100724,13.30873,15.8,2,511.0,2.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.7075,Mandel and Agol (2002 ApJ 580 171),,,009/009636/009636135/dv/kplr009636135-20160209194854_dvr.pdf,009/009636/009636135/dv/kplr009636135-002-20160209194854_dvs.pdf,6213.0,173.0,-259.0,4.387,0.06,-0.192,0.36,0.1,-0.3,1.195,0.351,-0.14,1.27,0.142,-0.156,,,,q1_q17_dr25_stellar,285.0571,46.320679,15.776,16.241,15.706,15.576,15.552,14.676,14.384,14.218,0.043,19.00375,3e-05,46.32075,0.00031,-2.1,1.1,0.2,1.1,0.00034,0.00018,-5e-05,0.00018,-0.12,0.34,0.21,0.29,0.24,0.3,-0.02,0.32,0.02,0.3,0.03,0.31
1069,7841925,K01499.03,,CANDIDATE,Done,2018-08-16,CANDIDATE,0.464,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,6.20920207,4.79e-05,-4.79e-05,136.87938,0.00711,-0.00711,2454969.879,0.00711,-0.00711,0.0,,,,,,0.272,0.189,-0.272,2.637,0.17,-0.17,,,,101.9,9.2,-9.2,0.009191,0.000603,-0.00044,2.62579,0.75618,-1.152,LS+MCMC,0.89,0.19,-0.13,0.061,,,89.11,,,914.0,,,164.98,110.29,-58.3,17.49,5.0,-5.0,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2434,0.4341,q1_q17_dr25_koi,8.336403,10.959013,12.1,3,208.0,2.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.2101,Mandel and Agol (2002 ApJ 580 171),,,007/007841/007841925/dv/kplr007841925-20160209194854_dvr.pdf,007/007841/007841925/dv/kplr007841925-002-20160209194854_dvs.pdf,5440.0,162.0,-162.0,4.438,0.144,-0.192,-0.24,0.35,-0.3,0.885,0.193,-0.129,0.782,0.116,-0.062,,,,q1_q17_dr25_stellar,297.72427,43.527431,14.48,15.106,14.44,14.211,14.105,13.154,12.736,12.684,0.0,19.84829,3.1e-05,43.52618,0.00031,0.2,1.2,-4.5,1.1,-3e-05,0.00012,0.00041,0.00011,-1.5,1.2,-1.4,1.2,2.0,1.4,-1.47,0.9,-1.7,1.1,2.2,1.1
1144,9729691,K01751.02,,CANDIDATE,Done,2018-08-16,CANDIDATE,0.0,0,0,0,0,q1_q17_dr25_sup_koi,DEEP_V_SHAPED,20.99757968,3.334e-05,-3.334e-05,132.05689,0.0013,-0.0013,2454965.057,0.0013,-0.0013,0.0,,,,,,0.277,0.161,-0.277,2.454,0.0472,-0.0472,,,,1131.8,27.0,-27.0,0.030358,0.000739,-0.000808,11.72011,2.11403,-2.60077,LS+MCMC,2.97,0.61,-0.43,0.1394,,,89.76,,,582.0,,,27.2,18.29,-9.65,64.9,11.7,-11.7,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1914,0.5167,q1_q17_dr25_koi,9.976729,27.840118,44.7,2,51.0,2.0,q1_q17_dr25_tce,11111101110111011000000000000000,0.7615,Mandel and Agol (2002 ApJ 580 171),,,009/009729/009729691/dv/kplr009729691-20160209194854_dvr.pdf,009/009729/009729691/dv/kplr009729691-002-20160209194854_dvs.pdf,5211.0,181.0,-163.0,4.447,0.12,-0.18,0.08,0.25,-0.3,0.895,0.186,-0.129,0.817,0.104,-0.064,,,,q1_q17_dr25_stellar,298.60788,46.453678,14.548,15.249,14.433,14.248,14.055,13.063,12.627,12.519,0.052,19.90719,1e-05,46.45354,0.00011,-0.07,0.38,-0.5,0.38,9e-05,0.00037,0.00044,0.00039,0.17,0.13,0.04,0.16,0.17,0.14,0.08,0.14,0.03,0.18,0.09,0.15
1195,7939330,K01581.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,29.5422566,0.0002958,-0.0002958,137.57837,0.00871,-0.00871,2454970.578,0.00871,-0.00871,0.0,,,,,,0.959,0.011,-0.008,13.902,0.522,-0.522,,,,879.9,33.1,-33.1,0.035889,0.002133,-0.003108,0.0058,0.00072,-0.00189,LS+MCMC,3.15,0.73,-0.25,0.1792,,,81.44,,,515.0,,,16.56,11.85,-3.95,6.444,0.8,-0.8,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2434,0.4341,q1_q17_dr25_koi,7.930523,31.4297,39.5,2,46.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.5159,Mandel and Agol (2002 ApJ 580 171),,,007/007939/007939330/dv/kplr007939330-20160209194854_dvr.pdf,007/007939/007939330/dv/kplr007939330-001-20160209194854_dvs.pdf,5510.0,166.0,-149.0,4.572,0.038,-0.152,-0.16,0.3,-0.3,0.803,0.188,-0.063,0.877,0.083,-0.092,,,,q1_q17_dr25_stellar,282.43918,43.734482,15.481,16.064,15.413,15.23,15.112,14.164,13.682,13.659,,18.8292775,9.9e-06,43.73423,0.00012,-0.07,0.39,-0.9,0.43,,,0.00065,0.00039,0.22,0.17,0.05,0.26,0.22,0.2,0.14,0.17,-0.1,0.19,0.17,0.17
1274,4770365,K01475.03,,CANDIDATE,Done,2018-08-16,CANDIDATE,0.987,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,4.72941177,3.075e-05,-3.075e-05,132.93871,0.00548,-0.00548,2454965.939,0.00548,-0.00548,0.0,,,,,,0.236,0.234,-0.236,2.234,0.156,-0.156,,,,434.3,33.7,-33.7,0.018507,0.001083,-0.000982,3.48779,0.52524,-1.9219,LS+MCMC,1.22,0.05,-0.06,0.0468,,,89.16,,,669.0,,,47.3,8.56,-7.89,16.04,2.4,-2.4,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.101,0.6443,q1_q17_dr25_koi,2.928935,10.887242,14.6,3,236.0,3.0,q1_q17_dr25_tce,01011111111111111000000000000000,0.9831,Mandel and Agol (2002 ApJ 580 171),,,004/004770/004770365/dv/kplr004770365-20160209194854_dvr.pdf,004/004770/004770365/dv/kplr004770365-003-20160209194854_dvs.pdf,4224.0,84.0,-84.0,4.662,0.025,-0.02,-0.2,0.15,-0.15,0.603,0.027,-0.03,0.609,0.033,-0.033,,,,q1_q17_dr25_stellar,297.43039,39.847839,15.937,17.151,15.868,15.416,15.149,14.045,13.321,13.2,,19.828682,2.2e-05,39.84746,0.0002,-0.41,0.91,-1.38,0.72,,,0.00034,0.00032,-1.3,1.6,0.2,1.0,1.3,1.5,-1.7,1.1,0.05,0.94,1.7,1.1
1370,9634821,K02037.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,0.979,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,73.7578875,0.0004304,-0.0004304,183.72348,0.00488,-0.00488,2455016.723,0.00488,-0.00488,0.0,,,,,,0.714,0.205,-0.487,2.69,0.115,-0.115,,,,1836.9,98.8,-98.8,0.042132,0.01097,-0.004136,14.00765,22.68921,-12.24071,LS+MCMC,4.28,2.21,-0.66,0.3259,,,89.74,,,375.0,,,4.66,7.81,-1.77,159.1,64.4,-64.4,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1324,0.6039,q1_q17_dr25_koi,11.729464,29.859983,20.2,3,15.0,1.0,q1_q17_dr25_tce,00011111111111111000000000000000,0.3831,Mandel and Agol (2002 ApJ 580 171),,,009/009634/009634821/dv/kplr009634821-20160209194854_dvr.pdf,009/009634/009634821/dv/kplr009634821-001-20160209194854_dvs.pdf,5029.0,192.0,-174.0,4.429,0.13,-0.416,0.48,0.05,-0.25,0.93,0.481,-0.144,0.847,0.068,-0.049,,,,q1_q17_dr25_stellar,284.34274,46.316551,15.213,16.038,15.092,14.859,14.696,13.661,13.175,13.016,0.0,18.9561786,6.5e-06,46.31699,0.00011,-0.13,0.24,1.6,0.39,-0.0011,0.00058,0.00317,0.00091,2.61,0.098,-9.32,0.11,9.68,0.11,-0.16,0.1,0.3,0.13,0.34,0.12
1457,3338885,K01845.02,,CANDIDATE,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,5.05821338,4.738e-06,-4.738e-06,135.702454,0.000787,-0.000787,2454968.702,0.000787,-0.000787,0.0,,,,,,1.004,0.042,-0.696,1.132,0.112,-0.112,,,,748.3,23.7,-23.7,0.058714,0.006156,-0.024776,1.13328,57.87374,-0.61849,LS+MCMC,10.69,6.94,-6.3,0.0567,,,85.01,,,1168.0,,,439.8,905.81,-373.44,11.53,5.7,-5.7,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1396,0.5988,q1_q17_dr25_koi,5.601307,30.207308,43.2,2,237.0,2.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.9388,Mandel and Agol (2002 ApJ 580 171),,,003/003338/003338885/dv/kplr003338885-20160209194854_dvr.pdf,003/003338/003338885/dv/kplr003338885-002-20160209194854_dvs.pdf,4883.0,146.0,-132.0,3.972,0.57,-0.38,0.56,0.05,-0.3,1.667,1.082,-0.983,0.951,0.198,-0.144,,,,q1_q17_dr25_stellar,290.54855,38.495281,14.438,15.344,14.362,14.05,13.861,12.807,12.276,12.19,0.423,19.3698977,6.8e-06,38.49517,8.7e-05,-0.26,0.29,-0.4,0.31,4e-05,0.00022,0.00016,0.00024,0.02,0.12,0.1,0.14,0.1,0.14,-0.08,0.12,0.13,0.15,0.16,0.16
1519,4157325,K01860.03,,CANDIDATE,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,3.07644709,1.038e-05,-1.038e-05,353.7643,0.00224,-0.00224,2455186.764,0.00224,-0.00224,0.0,,,,,,0.708,0.235,-0.505,2.6326,0.0693,-0.0693,,,,216.7,8.1,-8.1,0.01442,0.002262,-0.001063,0.55826,0.83787,-0.42975,LS+MCMC,1.61,0.23,-0.17,0.0407,,,83.78,,,1253.0,,,583.25,244.51,-153.16,6.54,2.5,-2.5,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2602,0.4096,q1_q17_dr25_koi,4.620691,22.377825,29.3,4,337.0,3.0,q1_q17_dr25_tce,00011111111111111000000000000000,0.7163,Mandel and Agol (2002 ApJ 580 171),,,004/004157/004157325/dv/kplr004157325-20160209194854_dvr.pdf,004/004157/004157325/dv/kplr004157325-003-20160209194854_dvs.pdf,5670.0,114.0,-114.0,4.397,0.095,-0.105,0.06,0.15,-0.15,1.022,0.148,-0.108,0.949,0.067,-0.055,,,,q1_q17_dr25_stellar,291.55695,39.227291,14.028,14.509,13.977,13.822,13.745,12.874,12.576,12.51,0.0,19.4371097,3.3e-06,39.226224,7e-05,-0.88,0.14,-3.84,0.25,-6e-06,2.8e-05,-0.000156,5.1e-05,1.08,0.43,2.64,0.8,2.85,0.76,-0.15,0.34,-0.46,0.52,0.48,0.57
1578,9758089,K01871.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,0.998,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,92.7297248,0.000398,-0.000398,177.43808,0.00347,-0.00347,2455010.438,0.00347,-0.00347,0.0,,,,,,0.857,0.056,-0.597,6.83,0.153,-0.153,,,,1257.5,31.9,-31.9,0.038187,0.003406,-0.006244,0.49438,2.30134,-0.23741,LS+MCMC,2.81,0.2,-0.08,0.3608,,,89.19,,,276.0,,,1.38,0.32,-0.19,60.8,28.3,-28.3,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.0656,0.6854,q1_q17_dr25_koi,11.24588,31.68297,43.3,2,13.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.4814,Mandel and Agol (2002 ApJ 580 171),,,009/009758/009758089/dv/kplr009758089-20160209194854_dvr.pdf,009/009758/009758089/dv/kplr009758089-001-20160209194854_dvs.pdf,4580.0,92.0,-92.0,4.641,0.012,-0.045,0.08,0.15,-0.15,0.675,0.046,-0.021,0.748,0.027,-0.043,,,,q1_q17_dr25_stellar,285.25366,46.582191,14.897,15.858,14.819,14.485,14.296,13.213,12.636,12.53,0.0,19.0168853,5.8e-06,46.582466,5.9e-05,-0.92,0.22,0.99,0.21,-0.00102,0.00031,0.00091,0.00034,3.94,0.31,-2.87,0.29,4.87,0.36,0.26,0.16,0.38,0.25,0.46,0.22
1606,2832589,K01942.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,10.84969477,2.777e-05,-2.777e-05,136.74432,0.0021,-0.0021,2454969.744,0.0021,-0.0021,0.0,,,,,,0.55,0.28,-0.347,3.474,0.0673,-0.0673,,,,1122.1,27.5,-27.5,0.031398,0.003218,-0.001247,1.4533,1.00684,-0.06189,LS+MCMC,2.67,0.38,-0.21,0.0914,,,88.49,,,676.0,,,49.3,23.34,-12.14,20.83,7.2,-7.2,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1959,0.5086,q1_q17_dr25_koi,5.8538103,34.495014,43.5,2,124.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.4527,Mandel and Agol (2002 ApJ 580 171),,,002/002832/002832589/dv/kplr002832589-20160209194854_dvr.pdf,002/002832/002832589/dv/kplr002832589-001-20160209194854_dvs.pdf,5251.0,158.0,-158.0,4.592,0.032,-0.097,-0.04,0.3,-0.3,0.778,0.112,-0.06,0.869,0.06,-0.095,,,,q1_q17_dr25_stellar,286.00674,38.009541,15.409,16.077,15.345,15.123,15.034,13.99,13.556,13.44,0.0,19.067138,4.7e-06,38.00927,3.9e-05,0.94,0.2,-0.97,0.14,0.00145,0.00025,5e-05,0.0002,-3.52,0.38,0.12,0.13,3.53,0.38,0.25,0.17,0.08,0.18,0.27,0.19
1878,3229150,K02150.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,0.999,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,18.5084526,0.0001311,-0.0001311,131.54555,0.0057,-0.0057,2454964.546,0.0057,-0.0057,0.0,,,,,,1.258,71.8,-2.217,6.596,0.249,-0.249,,,,758.9,28.7,-28.7,0.286358,71.79231,-2.208285,0.0112,35.51783,-0.01849,LS+MCMC,29.33,8.82,-2.94,0.1383,,,77.63,,,683.0,,,51.32,46.25,-14.91,5.88,2.9,-2.9,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2889,0.3511,q1_q17_dr25_koi,6.129146,22.479414,30.1,2,74.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.804,Mandel and Agol (2002 ApJ 580 171),,,003/003229/003229150/dv/kplr003229150-20160209194854_dvr.pdf,003/003229/003229150/dv/kplr003229150-001-20160209194854_dvs.pdf,5942.0,176.0,-193.0,4.506,0.039,-0.208,-0.06,0.25,-0.3,0.938,0.282,-0.094,1.028,0.127,-0.14,,,,q1_q17_dr25_stellar,289.84286,38.309601,15.253,15.752,15.184,15.039,14.95,14.015,13.725,13.611,0.058,19.322859,1.1e-05,38.30944,0.00013,0.04,0.46,-0.59,0.48,3e-05,0.00034,0.00044,0.00037,0.13,0.17,-0.43,0.33,0.45,0.34,0.25,0.18,-0.15,0.34,0.29,0.27
1994,11752906,K00253.02,,CANDIDATE,Done,2018-08-16,CANDIDATE,0.993,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,20.6180348,0.0001382,-0.0001382,145.51232,0.00464,-0.00464,2454978.512,0.00464,-0.00464,0.0,,,,,,0.155,0.314,-0.155,3.267,0.185,-0.185,,,,769.5,52.1,-52.1,0.024893,0.00144,-0.000914,5.1879,0.73126,-2.33145,LS+MCMC,1.57,0.06,-0.1,0.1228,,,89.82,,,359.0,,,3.92,0.65,-0.76,48.85,6.9,-6.9,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.0767,0.6737,q1_q17_dr25_koi,4.96706,12.288935,16.3,2,50.0,2.0,q1_q17_dr25_tce,11111110111011101000000000000000,0.4026,Mandel and Agol (2002 ApJ 580 171),,,011/011752/011752906/dv/kplr011752906-20160209194854_dvr.pdf,011/011752/011752906/dv/kplr011752906-002-20160209194854_dvs.pdf,3757.0,74.0,-82.0,4.681,0.039,-0.015,0.48,0.05,-0.15,0.576,0.022,-0.036,0.581,0.029,-0.029,,,,q1_q17_dr25_stellar,285.57434,49.962269,15.254,16.625,15.335,14.667,14.261,13.089,12.399,12.29,0.0,19.038306,1.2e-05,49.9621,0.00012,0.55,0.42,-0.62,0.44,-0.00061,0.00037,-0.00091,0.00041,-0.05,0.43,1.43,0.37,1.43,0.37,-0.11,0.45,-0.58,0.37,0.59,0.35
2113,10387742,K02583.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,0.998,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,3.03267135,1.374e-05,-1.374e-05,134.0668,0.00381,-0.00381,2454967.067,0.00381,-0.00381,0.0,,,,,,0.238,0.232,-0.238,1.774,0.122,-0.122,,,,42.4,3.2,-3.2,0.005931,0.000327,-0.00028,4.29145,0.82743,-2.08919,LS+MCMC,0.6,0.08,-0.04,0.0405,,,88.93,,,1187.0,,,468.31,187.65,-91.73,12.78,2.5,-2.5,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2602,0.4096,q1_q17_dr25_koi,3.291521,12.880582,15.6,2,447.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.9702,Mandel and Agol (2002 ApJ 580 171),,,010/010387/010387742/dv/kplr010387742-20160209194854_dvr.pdf,010/010387/010387742/dv/kplr010387742-001-20160209194854_dvs.pdf,5640.0,101.0,-113.0,4.492,0.045,-0.113,0.06,0.15,-0.15,0.921,0.131,-0.061,0.962,0.054,-0.068,,,,q1_q17_dr25_stellar,283.42911,47.59251,12.623,13.089,12.572,12.423,12.381,11.462,11.142,11.076,0.0,18.895255,2.5e-05,47.59313,0.00024,-0.71,0.9,2.22,0.86,3.3e-05,3.6e-05,-0.000104,3.5e-05,0.2,1.2,0.7,1.3,0.8,1.3,0.3,1.2,0.4,1.3,0.5,1.3
